Quantity,Total Qty,Manufacturer Part Number,Manufacturer,Factory Lead Time,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Stock,"Unit Price, $","Δ Median Price, $","Unit Price Change Since Release, $","Best Unit Price, $","Saving Opportunities, $",Surplus,Total Quantity,Total Price,Packaging,MOQ,MPQ
1,1,113991254,Seeed Studio,96,Mouser 713-113991254,Mouser,713-113991254,https://octopart.com/opatz8j6/a1?t=qA_SiqMu8FFQVcVKTRO_H2C8_4GZErpeeKIkERUzPm5exrh0IgAQfazf2dHf8ZHprn4cZTDQTQR1zM9Y4Nu9MoTfGukcGnXcql9I0pzZCwNpXAvdUNNpwIryXQX0Lac1lAE0chjGv-LTLJoS17Zw3l1J_MSbqnpJtCKBfHmBGGRYPQ25339MkRCHVzfHT7Z1raJU9F5FUAmBVH-DWbh7tD3Sj-pHhrKmp9I3SbPhV0tYqU2pOEQ0RrHgrbgD5yrc6Qv73eztaW_NZqOVGY3jXqXlJs3Tkg,905,5.38,0.00,0.00,5.38,,0,1,5.38,,1,
1,1,TPS563200DDCR,Texas Instruments,140,LCSC C97253,LCSC,C97253,https://octopart.com/opatz8j6/a1?t=Xy4vYPZkqyE5jkmyoep9ZJD7SvpAlHiVvG3pAx4FcnSfpLycfck35pb3wnCwW0YI-GhnlXqezYcJ5Ta1waG-yyYGa37QU_XwLT4oMAYz-H08R-UYNcvRM4S08fkj7vXfCBQqHLM9v2x3oKIRV8Ir6yzRfoAO7Wc-pm-Cf1prjYAKkMHkICVSJENhQz8dWbKJkXoYhoWUgIWq0i21oYxB4f8rjEY7HYHvZwiF_uw66CuSTREmDZF3E0i6LZQSmzgQMo8ZYZZnfqcsCpsgAG4_OKSFvmN4Vw,18623,1.03,-0.5258,0.00,1.03,,0,1,1.03,,1,1
1,1,LSM6DSV320XTR,STMicroelectronics,168,Newark LSM6DSV320XTR,Newark,LSM6DSV320XTR,https://octopart.com/opatz8j6/a1?t=cZt5zSJNokBJXszFKK1JTW47mkr6POQl6ixsF1qkke-g_FLwqsk6pj9gk-GcYsytXjyJC6-S8pa0XeSPfsg1mU2ft0o3w9rBy2OhSviGXyd2atxGICqtyxritlv90j-bQD74HNWzbDUNtkDyvX95fS2ieZr_AVztD-rqvtXROmxYqxidS8zDuQzC0zw5u_QnIUhU4XOvhKGhc74a8EACni9o-QP4SN6498NoAUe-hR3DgUfAr52G58IM60Xt57mERKEqS6RZROmxJnjz5HSDaH5cY7HG2g,174,8.78,-2.72,0.00,8.78,,0,1,8.78,Cut Tape,1,1
1,1,74437346047,Wurth Elektronik,133,Mouser 710-74437346047,Mouser,710-74437346047,https://octopart.com/opatz8j6/a1?t=h5vkHntL3Cs_xVwqR4GdTPjtJ09t6UJC0moDnmg24rzxG7WRfHYy50RD-mZhwzGQyTvguQzjiPhbvAZXApyd45AisYekQ_vPx_yQ2it8FTI6erUHS3DGJQ_ixQg_GXoQ8pTIub-l-qNLe1m46ktS3BB4bSBzHfacQDbBLgLPbeYGfdUVH2ql_GynVlyu_-rCXHD55NloUbqLLffW03dcRYP3wUSbtkoe_2vSZQmKh8lj2MU9RV-CZCX8F_o8VvjqPfkonmN4CI43pXd4Tl4nnXe6WdWf,708,2.25,-0.745,0.00,2.25,,0,1,2.25,Tape & Reel,1,
5,5,GRM21BR61A226ME51K,Murata,119,Newark GRM21BR61A226ME51K,Newark,GRM21BR61A226ME51K,https://octopart.com/opatz8j6/a1?t=hiuXwSXA7mztkyWo8JzaMlTe8mpGW0SUNps1nW7sb--pDotZ9r5qqHMdqSpDfpTbKOfLa43RhZuSsThCJYAyvahAfper37-jWnIe90OKnveprXlAeA1Ef95zAak32KUV6eYyyyV9r2oEu-um0vFmDogs7zTc5n9_GCm176DytDvmPeh5EEiXl8330xptco9qV64z4R35Zp8KX3JU-qhfSuQrfKWkMOhd6OD0wDZ9a676erFbBtQOtSSFp6NaDxHnbahH3-xxPutYvzB0OSVk33bJxh4m,3220,0.079,-0.026,0.00,0.079,,5,10,0.790,Cut Tape,10,10
5,5,CL21B104KBCNNNC,Samsung Electro-Mechanics,168,LCSC C1711,LCSC,C1711,https://octopart.com/opatz8j6/a1?t=OHqtnJz0KklQij1jqgMvZHhrbSdFltJyhOkF-Thsn6U7wESU0nFFgzSM9gxVuGcSGy4_9ajiceViWpy5OUUxzvRByXvUOyo2_5y7QuF14QyQ9PBPRHTxSG0e9j69r_Kr02lnBwf4iu09zwYsvr1Xl7yAqebDMJWy22f5gjEhDD7U3j7fXZw_38-Db1oflrg8eHEEYZOvgN0f46SUU4CqYgo62G2EBfgBxHLzz15KsF2Apy_z5kGdcwgzdOKVzDk4F5tdhlCE4JPWWv9LYfsb4-KoKWQV,199420,0.0145,0.0033,0.00,0.0145,,15,20,0.2900,,20,20
9,9,WR08X333 JTL,Walsin Technologies,126,Mouser 791-WR08X333JTL,Mouser,791-WR08X333JTL,https://octopart.com/opatz8j6/a1?t=9SQ-HnfbACB-e-xGVnyoKjj9cxK-EiqWVLXvjsm8tgZ2-tDkdfwiO3V6WLMp9bschfb4-jGluZbr3BGt9dQN5ihKApufLPf2UR1GIw24T7Gnh1aSvQ_7aA_Yk2GuxcBuRe1pGegf0yNUypBvaiauYksQR9hwiwMUtiDG0kvlJUYk_R6iFyYGyyzh4P4CC4FLZFbWUKzZoqSHqwyT9MhckY-7TUKZMDKDn3TOTDuzJvXQRLDOPsAG7G4b-3m2bgz8T_45nday-pa8yk9A-fOKxc2JtoS2,45267,0.012,-0.00646,0.002,0.012,,1,10,0.120,Tape & Reel,1,
1,1,RC0805JR-0756KL,Yageo Group,119,Mouser 603-RC0805JR-0756KL,Mouser,603-RC0805JR-0756KL,https://octopart.com/opatz8j6/a1?t=5lTHHL9IcicP0RZPXf6Ujaj0ByaQDdRjKhsXkbMAHp2mfTQFWqMGT9SikcOeA_x7xFOd-2rR6Abnu2wZjVbdCLnuKQgOXYpm0FsDFBRoKARNJW_nzSjjLLJ35iFg33RbIj1flVPTvw4cgNSepvQH9iNa6zVUWmCRizVnJjMZHTM2OmNTEgxkRpw34hQ6EprV4AEnTzPK7x3Y0M6qCMcc_SUx1RJKYIiGqVA3MMeUc4KA4k0mBRynMueGFK7Y3x2dhGmSf5Y1ncXzj5jvwqPVnI3f0NcH,11898,0.1,-0.09,0.0,0.1,,0,1,0.1,Tape & Reel,1,
1,1,CRCW080510K0JNEA,Vishay,31,Mouser 71-CRCW0805J-10K-E3,Mouser,71-CRCW0805J-10K-E3,https://octopart.com/opatz8j6/a1?t=91QlNCy2jHevHLzkKkVo7UvfhnjnksvFRUEQWCCx60FJj7k-n07OXe_MX_p0M5rZLNbqqLtuunIXXTh2EjMm8h3p8kHi0CD7q1hxE46E3t70qu1U-XwMnpAPqHh4zPXB1R5gLjpeDFEMOAJWOxluEzzjYBZafzpntjWWynXlBPixORIJjuLTgit-EThdAIq4YpQnEBINBeSMGr6PsT5RnNgUOePFtusPR9YdnMW7GEBLfPUm_tFzv_aYGHIXCRzgQkPEwEHVnwgoUM0IRmimJr8W9Z7e,430261,0.1,-0.0892,0.0,0.1,,0,1,0.1,Tape & Reel,1,
1,1,RT0805BRD0733K2L,Yageo Group,140,Mouser 603-RT0805BRD0733K2L,Mouser,603-RT0805BRD0733K2L,https://octopart.com/opatz8j6/a1?t=d0DzoC2eUSrbLLtk-NgP0CHKPYJi8CQpxKueYIyzNbsSVbAvkcBsmguDTGJi7wVZ1Q-H0hfnv8ynCc1CjirqAqTlKIVjPuOvXmJGhMZsETo9Gbq_NAXPG_ZfkuPF0r9aBsd_p5pn--PIfSWWJghqcrQvc8QpC5Y5ht3Gn41GPti31AxwZ2sS6UFCwBhK3GylMBv1kQ9eWvlPVS-LGOy-3cO2YHM247I1-f9NJ56Hn1Wocc4UQaSoYRRtSHCXT7wufzRUbRpMNN19j1JYsQphXN6hM6k,6023,0.12,-0.05679,0.00,0.12,,0,1,0.12,Tape & Reel,1,
