Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C6, C8",0805,5,22uF,
"C10, C4, C5, C7, C9",0805,5,100nF,
D1,D_SMA,1,SMAJ40CA,
"D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-323,8,PESD5V0V1BB,
J1,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,Battery Connector,
J10,Power_SolderPad_2Pin_P5.08mm_D2.0mm,1,VBAT_ESC_C,
J11,Power_SolderPad_2Pin_P5.08mm_D2.0mm,1,VBAT_ESC_E,
J12,Power_SolderPad_2Pin_P5.08mm_D2.0mm,1,VBAT_ESC_F,
J13,Power_SolderPad_2Pin_P5.08mm_D2.0mm,1,VBAT_ESC_G,
J14,Power_SolderPad_2Pin_P5.08mm_D2.0mm,1,VBAT_ESC_D,
J15,Power_SolderPad_2Pin_P5.08mm_D2.0mm,1,VBAT_ESC_H,
J16,PinHeader_1x03_P2.54mm_Vertical,1,ESC G,
J17,PinHeader_1x03_P2.54mm_Vertical,1,ESC H,
J18,BetaFPV_ELRS_Lite,1,ELRS Reciever,
J2,PinHeader_1x03_P2.54mm_Vertical,1,ESC A,
J3,PinHeader_1x03_P2.54mm_Vertical,1,ESC B,
J4,PinHeader_1x03_P2.54mm_Vertical,1,ESC C,
J5,PinHeader_1x03_P2.54mm_Vertical,1,ESC D,
J6,PinHeader_1x03_P2.54mm_Vertical,1,ESC E,
J7,PinHeader_1x03_P2.54mm_Vertical,1,ESC F,
J8,Power_SolderPad_2Pin_P5.08mm_D2.0mm,1,VBAT_ESC_A,
J9,Power_SolderPad_2Pin_P5.08mm_D2.0mm,1,VBAT_ESC_B,
L1,1210,1,4.7uH,
"R1, R11, R12, R13, R2, R3, R4, R5, R6",0805,9,33K,
R10,0805,1,120k,
R14,0805,1,100k,
R7,0805,1,56K,
R8,0805,1,10K,
R9,0805,1,33.2k,
SW1,Power_SolderPad_2Pin_P5.08mm_D2.0mm,1,FingerTech Switch,
TP1,TestPoint_Pad_D3.0mm,1,TP_VBAT_SNS,
TP2,TestPoint_Pad_D3.0mm,1,TP_5V,
TP3,TestPoint_Pad_D3.0mm,1,TP_GND,
TP4,TestPoint_Pad_D3.0mm,1,TP_3V3,
TP5,TestPoint_Pad_D3.0mm,1,TP_VBAT(VBUS),
U1,XIAO-ESP32-C6-SMD,1,XIAO-ESP32-C6-SMD,
U2,SOT-23-6,1,TPS563200,
U3,LGA-14L_2p5X3X0p83_STM,1,LSM6DSV320XTR,
