Designator,Mid X,Mid Y,Rotation,Layer
C1,205.429951,-76.0,270.0,top
C10,208.714975,-76.0,270.0,top
C2,202.144926,-76.0,270.0,top
C3,198.859901,-76.0,270.0,top
C4,195.574877,-76.0,270.0,top
C5,192.289852,-76.0,270.0,top
C6,189.004827,-76.0,270.0,top
C7,185.719802,-76.0,270.0,top
C8,182.434778,-76.0,270.0,top
C9,212.0,-76.0,270.0,top
D1,203.0,-106.75,0.0,top
D2,188.476405,-86.0225,270.0,top
D3,185.31549,-86.0225,270.0,top
D4,182.154575,-86.0225,270.0,top
D5,178.99366,-86.0225,270.0,top
D6,175.832745,-86.0225,270.0,top
D7,172.67183,-86.0225,270.0,top
D8,169.510915,-86.0225,270.0,top
D9,166.35,-86.0225,270.0,top
J1,217.25,-106.5,0.0,top
J10,141.75,-98.5,0.0,top
J11,152.83,-98.5,0.0,top
J12,141.75,-109.75,0.0,top
J13,152.83,-109.75,0.0,top
J14,141.75,-121.0,0.0,top
J15,152.83,-121.0,0.0,top
J16,183.25,-132.16,270.0,top
J17,183.25,-136.75,270.0,top
J18,221.5,-120.75,270.0,top
J2,183.25,-104.62,270.0,top
J3,183.25,-109.21,270.0,top
J4,183.25,-113.8,270.0,top
J5,183.25,-118.39,270.0,top
J6,183.25,-122.98,270.0,top
J7,183.25,-127.57,270.0,top
J8,141.75,-87.25,0.0,top
J9,152.83,-87.25,0.0,top
L1,195.25,-107.25,0.0,top
R1,220.085556,-86.0,270.0,top
R10,169.504679,-76.0,270.0,top
R11,201.120066,-86.0,270.0,top
R12,197.959151,-86.0,270.0,top
R13,194.798236,-86.0,270.0,top
R14,191.63732,-86.0,270.0,top
R2,216.924641,-86.0,270.0,top
R3,213.763726,-86.0,270.0,top
R4,210.602811,-86.0,270.0,top
R5,207.441896,-86.0,270.0,top
R6,204.280981,-86.0,270.0,top
R7,179.179753,-76.0,270.0,top
R8,175.954728,-76.0,270.0,top
R9,172.729704,-76.0,270.0,top
SW1,218.17,-90.0,0.0,top
TP1,171.5,-115.05,0.0,top
TP2,171.5,-120.1,0.0,top
TP3,171.5,-125.15,0.0,top
TP4,171.5,-130.2,0.0,top
TP5,171.5,-135.25,0.0,top
U1,200.5825,-129.56575,180.0,top
U2,207.0,-114.0,180.0,top
U3,195.75,-114.0483,0.0,top
